path,label,label_name,dataset,subject
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05963d593.tiff,1,spoof,NDCLD15,nd1S05963
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05963d599.tiff,1,spoof,NDCLD15,nd1S05963
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05842d627.tiff,1,spoof,NDCLD15,nd1S05842
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05842d630.tiff,1,spoof,NDCLD15,nd1S05842
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05812d641.tiff,1,spoof,NDCLD15,nd1S05812
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05812d647.tiff,1,spoof,NDCLD15,nd1S05812
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05842d703.tiff,1,spoof,NDCLD15,nd1S05842
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05871d516.tiff,1,spoof,NDCLD15,nd1S05871
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05871d517.tiff,1,spoof,NDCLD15,nd1S05871
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05871d521.tiff,1,spoof,NDCLD15,nd1S05871
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05963d674.tiff,1,spoof,NDCLD15,nd1S05963
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05856d628.tiff,1,spoof,NDCLD15,nd1S05856
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05856d629.tiff,1,spoof,NDCLD15,nd1S05856
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\05856d633.tiff,1,spoof,NDCLD15,nd1S05856
